,Language Example,Language index
37,"Su manga est istau unu sutzessu a libellu mundiale, tantu chi b'an fattu dae cuddu paritzas atteras ",srd
38,Isohlwayo kuxa into kwenziwe into emntwini okanye kwisilwanyana abe loo mntu okanye eso silwanyana s,xho
39,دُوجے وِشو یُدّھ دے بعد آئسلینڈ اُتّری اٹلانٹِک سندِھ سنگٹھن دا میمبر بنیا، لیکِن یوروپی سنگھ دا نہی,pnb
40,I-Solid sesinye sezimo ezine ezixhaphakileyo sendlela ezimi ngayo izinto. Iimolecules kwi-isolids zi,xho
41,ارتھوِئستھا مُکّھ رُوپ ولوں مچھّی پھڑن اُتّے آدھارِت ہے، جِسدی دیش دے نِریات کمائی وِچّ بھاگیداری 60,pnb
42,Nordahl Road is a station served by North County Transit District's SPRINTER light rail line. It str,eng
43,ЮНЕСКО кесини компетенциясында халкъла арасы премияла береди. Аланы ичинде — Феликс Уфуэ-Буанья атлы,krc
44,A talk by Takis Fotopoulos about the Internationalization of the Capitalist Market Economy and the p,eng
45,"Laga postu administrativu ida iha munisípiu Baukau, Timór Lorosa'e nian. Ho populasaun 14.432 (2010)",tet
46,"हावडा क नाम, बंगाली शब्द ""हाओर"" (बंगला:হাওর) सँग आएल अछि जे बंगाली मे पानी, कीचड़ आ जमे हुएल जैविक म",mai
47,ชีวิตพระวัดป่าบ้านตาด พระอาจารย์สุชาติ อภิชาโต เล่าว่า ได้ฝึกความอดทนต่ออากาศหนาว เพราะบางปีอุณหภูมิ,tha
48,Leuro (iha lia-portugés: Leuro) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administrativu,tet
49,’’آئین اکبری وچ ابوالفضل نے ٹپے دا ذکر کیتا اے۔ فقیر اللہ سیف خاں نے وی ٹپے دا ذکر کیتا اے۔ اتے اوہد,pnb
50,"Андранік Тэймуран (па-пэрсыдзку: آندرانيک تيموريان‎‎, па-армянску: Անդրանիկ Թէյմուրեան; нарадзіўся 6",be-tarask
51,"While running a campaign to elect his sister Sherry Martschink to Lieutenant Governor in 1990, Sheal",eng
52,"Ezi proteni zibaziinqwelo zokuthutha ezinye izakha-mzimba ezincinane kakhulu ngegazi, zibengantibodi",xho
53,Эркиши — эркиши ырхызда болгъан адамгъа берилген атды. Асламысы акъыл-палыкъ болгъанла ючюн хайырлан,krc
54,"ลาปาโลมา (สเปน: La Paloma แปลว่า ""นกเขา"" หรือ ""นกพิราบ"") เป็นเพลงสเปนที่แต่งโดยเซบัสเตียน อีราเดียร์",tha
55,กรุง ศรีวิไล เข้าเรียนชั้นประถมที่โรงเรียนบางพลีน้อย หลังจากนั้นก็ต่อชั้นมัธยมปลายในตัวอำเภอ โดยอาศั,tha
56,"I 1974 utga Harrison albumet Dark Horse og på samme tid begynte en omfattende konsertturne i USA, so",nob
57,Imithi ehlala iluhlaza yimithi egcina amagqabi ayo ebusika. Inkoliso yemithi iyaphulukana namagqabi ,xho
58,"Reynolds was born in Wiesbaden, Germany, where his father, a career military man, was stationed. He ",eng
59,"Гэтае рашэньне стварыла юрыдычны прэцэдэнт, вядомы як правы Міранды, паводле якіх пералік дазволеных",be-tarask
60,นาตาลี เดวิส เกิดเมื่อวันที่ 6 สิงหาคม พ.ศ. 2530 เป็นนักร้อง นักแสดง นางแบบ สำเร็จการศึกษาระดับมัธยม,tha
61,"Maggie est nascia a Louisville, Kentucky, da mammai meri de domu nomenada Judy e babbai direttori de",srd
62,"Filippo Antonio Pasquale de Paoli, o Pascàle Paoli, (Stretta di Morosaglia, 6 de aprìle de su 1725 –",srd
63,زمین دی تریخ چ سیلورین ویلہ 44.4 کروڑ توں لے کے 41.4 کروڑ ورے پہلے تک ریا. ایس ویلے چ ایسے بوٹیاں دے,pnb
64,राराताल (अङ्ग्रेजी: Rara Lake) नेपालक कर्णाली अञ्चलक मुगु जिलामे अवस्थित नेपालक सबसँ पैग आ प्रसिद्ध ,mai
65,"iBhayi (IsiNgesi: Port Elizabeth) yidolophu eMzantsi Afrika, imi kwiPhondo laseMpuma Koloni, kumgama",xho
66,"मायादेवी मन्दिर एक प्राचीन बौद्ध मन्दिर छी, जे युनेस्को कऽ विश्व सम्पदा सूचीमे सुचिकृत अछि । ई पवित्",mai
67,गोपीनाथ मन्दिर (English: Gopinath Mandir) एक हिन्दु मन्दिर अछि जे भारतक उत्तराखण्ड राज्यक चमोली गढवा,mai
68,रघुराम राजनक जन्म भारतक भोपाल शहरमे ३ फरबरी १९६३ के भेल छल । सन् १९८५ मे ओ भारतीय प्रौद्योगिकी संस्थ,mai
69,"नेपालक वि.सं. २०६८ क जनगणना अनुसार अभिरावाक जनसङ्ख्या ६,९०८ अछि । जाहिमे ७९२ घरमूली अछि । ई स्थानक स",mai
70,ปัจจุบันมีรัฐ 24 รัฐที่มีกระบวนการทางประชาธิปไตยโดยตรงที่กำหนดโดยรัฐธรรมนูญและเริ่มโดยประชาชน ในสหรั,tha
71,Metagou (iha lia-portugés: Metagou) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administra,tet
72,بہار تے خزاں ویلہ - ایہہ چڑھدا ژوؤ ویلہ دا پہلا حصہ سی جو 771 ق م توں 481 ق م تکّ چلیا ۔ اسدا نام اس,pnb
73,"Since the days of the Revolution, a one-room stone schoolhouse had stood on a grassy area known as t",eng
74,Гардош (лат. Solánum tuberósum) — кёб джыллыкъ Паслёнланы (Solanum) юйдегисинден битимди. Ашаргъа ёс,krc
75,"Obreption and subreption (both from the Latin word repo/reptum (genitive), meaning to creep or crawl",eng
76,Sa Castìllia(in ispagnolu: Castilla [kasˈtiʎa]) est una regione istòrica de Ispagna cun tremenes pag,srd
77,"The boys' soccer team was coached by Gene Chyzowych, one of the most successful active scholastic so",eng
78,"Yohan, nu'udar primeiro alteta ne'ebé participa iha jogo olimpiade inverno nian no lori nasaun Timor",tet
79,"Reforma agraria mos tengki liga ba buat ne'e, atu distribui fila fali propriedade agrikultura no atu",tet
80,Sa Confraternita dei Preraffaelliti est stetia una currenti artistiga de sa pintura vittoriana (XIX ,srd
81,"Аны бла бирге БССР-ге кирген Белосток область, Гродно эм Брест областларыны кесеклери, УССР-ге кирге",krc
82,1942 джылны августундан башлаб 1943 джылны февралына дери япон эм американ аскерле Соломонну айрымка,krc
83,ประเทศสเปน เข้าร่วมแข่งขันกีฬาโอลิมปิกฤดูร้อนครั้งที่ 8 ค.ศ. 1924 (พ.ศ. 2467) ณ กรุงปารีส ประเทศฝรั่,tha
84,"28-чи майда британ парашютчуланы батальону Дарвин эмда Гуз-Грин джерлешимлени къатына джууукълашыб, ",krc
85,ریاست بیجاپور دی پہچان اس دے وڈے گنبد کرکے وی اے۔ ایہہ گمبد 40 میٹر گھیرے والا اے اتے ایہہ دنیا دا چ,pnb
86,گلاں لگھو کتھاواں ہن ، جہناں ادھین جیون وچّ واپردیاں نکیاں –نکیاں گھٹناواں نوں کلپنا دی پٹھّ چاڑ کے ,pnb
87,"1944 джылны 6-чы июнунда АБШ-ны, Уллу Британияны эм Канаданы бирлик кючлери талай аны эс бёлюб тарих",krc
88,"Aberllefenni is a village in the south of Gwynedd, Wales. It lies in the historic county of Merionet",eng
89,Сярод прадпрыемстваў гарэлектратранспарту Рэспублікі Беларусь УКПП БТУ на працягу шматлікіх гадоў за,be-tarask
90,"NgokweKhemestri, isolution ngumxube wezinto ezifanayo nezimbini nangaphezulu ezifanayo. Izinto eziny",xho
91,"अम्बिका महाभारतमे काशीराजक पुत्री बताएल गेल छल । अम्बिकाक दुईटा बहिन छल, पैग बहिन अम्बा तथा छोट बहिन",mai
92,"Cornus canadensis (Canadian dwarf cornel, Canadian bunchberry, quatre-temps, crackerberry, creeping ",eng
93,Atara (iha lia-portugés: Atara) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administrativu,tet
94,Serenata katak kantiga hirak-ne’ebé mane sira ba kanta ba sira-nia doben ka feto ne’ebé sira hadomi ,tet
95,ศาสตราจารย์กิตติคุณ ชอุ่ม ประเสริฐสกุล เป็นอาจารย์ทางด้านการถ่ายภาพ และนักถ่ายภาพที่มีชื่อเสียงของไท,tha
96,In su 1871 sa famiglia sua si fit trasferida a Odessa. Dae su 1886 a su 1889 aiat istudiadu Legges a,srd
97,"Sos primos idistas aiant a esser eminente leaders de su movimentu esperantistu, ma jam pro àteras ca",srd
98,Маўрытанія мае выхад да Атлянтычнага акіяна (берагавая лінія складае прыкладна 1200 км). Большая час,be-tarask
99,"Къазауат Совет Союзну халкъына уллу заран салгъанды, 26,5 миллион адамны ёлюмюне себеб болады, бир д",krc
100,"Kapellene stod delvis utenfor den vanlige kirkeorganisasjonen, med en rolle i statsadministrasjon. D",nob
101,रारा राष्ट्रिय निकुञ्ज पश्चिम नेपालक मुगु जिलामे अवस्थित अछि जे रारा ताल तथा ओकर अगलबगलक क्षेत्रक अग,mai
102,"Пасланьне пачынаецца велічнымі словамі, што ягоны аўтар сапраўдны сьведка падзеяў, які «бачыў уласны",be-tarask
103,"Та́ртак (па-польску: Tartak, па-падляску: Tártak, Kultúry) — прысёлак вёскі Забалоцьця ў Сямяціцкім ",be-tarask
104,พระจุลนายก (สุชาติ อภิชาโต) เป็นพระภิกษุฝ่ายวิปัสสนาธุระ สังกัดคณะสงฆ์ธรรมยุติกนิกาย ศิษย์ของพระธรรม,tha
105,Home (iha lia-portugés: Home) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administrativu L,tet
106,"На тэрыторыі Беларусі вызначаюць два дыялекты — паўночна-ўсходні і паўднёва-заходні, якія разьдзяляю",be-tarask
107,چک 184 مراد ضلع بہاولپور دی تصیل حاصلپور دا اک پنڈ اے ۔ ایہہ پنڈ دی بھوئیں نوں پانی ایسٹرن صادقیہ نہ,pnb
108,Рэйнская Талія (ням. Rheinische Thalia) — часопіс нямецкага паэта і драматурга Фрыдрыха Шылера. Выда,be-tarask
109,Ngokwesiqhelo ipopulation ibhekisa kwinani loluntu kwindawo ethile. Maxa wambi sukube kubhekiswa kwi,xho
110,"โอเรียนทัล อายส์ จำกัด (อังกฤษ: Oriental Eyes Co., Ltd.) เป็นบริษัทจำกัด ที่ประกอบธุรกิจประเภทผลิตแล",tha
111,नेपालक वि.सं. २०६८ क जनगणना अनुसार धमोलीक जनसङ्ख्या ६२८५ अछि । जाहिमे ८४० घरमूली अछि । ई स्थानक सन् ,mai
112,"Est unu de sos tzentros printzipales de sa Costera Asula, e sa prus manna bidda frantzesa a curtzu d",srd
113,"Kritola (gresk: Κρίτολα, virksom på 500-tallet f.Kr.) var en gresk kvinne tilhørende kongefamilien i",nob
114,بیرنٹس سمندر (نارویجی بولی چ:بیرنتس ہاویت ، روسی بولی چ :بیرنتسیوو مورے ، انگریزی چ بیرنٹس سی ) وڈا ,pnb
115,Man antar at den første menneskegruppen av jegere og samlere kom til Skottland for rundt 11 000 år s,nob
116,In sa sotziologia custu at significadu massimamente su cumentzu de unu programa empìricu e sa bessid,srd
117,Еврозонагъа кирирни аллы бла Болгария банкноталада кириллицада джазылырын излегенди. ЕАБ быллай иниц,krc
118,I lihlo lingungu lomzimba elisisazinge elisetyenziswa ukuva ukukhanya ukuze izilwanyana zikwazi ukub,xho
119,"Wadala uThixo oominenga mikhulu, nayo yonke imiphefumlo ephilileyo enambuzelayo, awanyakazela ngayo ",xho
120,"S'alipedde est un'ispetzia chi bolet istare ind unu logu firmu, essende sedentaria. Si podet agattar",srd
121,"Вядомы тэорыяй ледніковых пэрыядаў, згодна зь якой з-за пэрыядычных зьмен парамэтраў сваёй арбіты Зя",be-tarask
122,"Reynolds has a son Josef, born in February 1982 with his wife, Linna. In 1995, he and girlfriend Dia",eng
123,"Det er ikke et eget nasjonalt ruteselskap, men flere små selskaper med hovedkontor i Skottland, inkl",nob
124,"Kumdlalo bhanya-bhanya othi City of Angels, Ugq. Maggie Rice (odlalwa ngu-Meg Ryan) uye wawuchana un",xho
125,"The other, more probable account, starts in 1604, when Schyrleus is born in Reutte, Austria. After j",eng
126,"There was a reaction to these changes. Complaints arose over so-called ""fads and frills""-inessential",eng
127,Kewell yi umdlali kakhulu izakhono nge ekhohlo leg kwaye omkhulu misela amaqhekeza aye taker. Kubalu,xho
128,Isitya sokuphatha siyi-object esetyenziswa ukuphatha into. Abantu bafaka izinto kwisitya sokuphatha.,xho
129,कनकासुन्दरी गाउँपालिका जुम्ला जिलामे अवस्थित अछि । वि.सं. २०७३ सालमे सङ्घीय मामिला तथा स्थानीय विकास,mai
130,Алий улу назмула джазыб студент джылларында башлагъанды. Ол Омар Хаямны терттизгинлерин да къарачай-,krc
131,Luís Vaz de Camões - moris iha tinan 1524 ka 1525 iha Lizboa ka Coimbra; mate iha 10 fulan-Juñu 1580,tet
132,Либерализм (фр. libéralisme) — энчи азатлыкъны джамагъат эмда экономика системаны тамалы кёрген фило,krc
133,زحل کیونجے اک گیسی جن اے، ایدا کج حصہ تیز کمدا اے تہ کج کٹ تیز۔ اس وجہ توں ایدی کھل نوں سسٹماں چ ونڈ,pnb
134,"Ngentsebenziswano yamalungu awongamele isikolo kunye neetitshala zesi sikolo, kubeyimpumelelo engumm",xho
135,کج ہفتیاں مغروں ای مرفی نوں جیدادی دے ہور کم کرن تے دو سلور سٹار لبے۔ مرفی ہون سٹاف سارجنٹ سی پر اون,pnb
136,"Сьвятар працягваў служэньне і пасьля ўсталяваньня камуністычнай улады, якая разгарнула жорсткі тэрор",be-tarask
137,جنور کتھا وچّ پرمکھ پاتر کوئی پشو-پنچھی ہندا ہے ،جس دا بھوتک تے مانسک ووہار منکھاں ورگاں ادبھت لگدا ,pnb
138,Tendensia padre-madre sira nia intervensaun ba politika (nebe ho konsekuensia desestabiliza situasau,tet
139,"Den fransk-nederlandske krig var en krig fra 1672 til 1678 mellom Frankrike, Fyrstbispedømmet Münste",nob
140,"Autódromo de Buenos Aires Juan y Oscar Gálvez (igama elisemthethweni) 45,000 I-Argentina eyakhiwe ng",xho
141,"""West Coast Reggae Group Stick Figure Debuts First-Ever Music Video for 'Fire on the Horizon' Track:",eng
142,ونجارا بیدی انوسار لوک کہانیاں سبھاء دے پکھوں تنّ پرکار دیاں ہندیاں ہن ؛ • متھّ • دنت کتھا • کلپت کت,pnb
143,เมื่อเปิดใจบุคคลและผู้เล่นเยาวชนส่วนใหญ่นั้นจะมีสินทวีชัยเป็นแบบอย่าง โดยเขาก็ยังประพฤฒิตนเป็นแบบอย่,tha
144,تحریک خلافت ورگی عوامی تحریک دی مثال برصغیر دی تریخ چ نئیں ملدی ۔ اس چ شک نئیں کہ ایہہ تحریک اپنے مق,pnb
145,У чэрвені 2012-га сумесна з дырыжорам Тэадорам Курэнтзісам и аркестрам MusicAeterna запісала праграм,be-tarask
146,สนามกีฬาเฉลิมพระเกียรติ 80 พรรษา 5 ธันวา 2550 ยังเป็นสถานที่สำหรับจัดการแข่งขัน ไทยไฟท์ ที่มีขึ้นเป็,tha
147,ฝ่อซาน ในปี ค.ศ. 1905 ยิปมัน และ เทียนซือ พี่ชายบุญธรรมเข้าสู่สำนักจินอู่ ซึ่งเป็นสำนักมวยหย่งชุนของ,tha
148,"After a few months Hearst provided information, not on oath (sworn testimony could have been used to",eng
149,Endaweni yethanga kuphekwa imifino ubukhulu becala. Ewe amabhola (amathanga asematsha) ayaphekwa naw,xho
150,Waitame (iha lia-portugés: Uaitame) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administra,tet
151,اس توں بعد 1789 چ ویلیم ہرشل نیں 2 ہور چن ویکھے: میماس تے انسلادوس۔ زحل دا اک نکا چن فیبی جیڑا باقی ,pnb
152,Binta fintzas sa Super-copa ispagnola contra de s'Athletic Bilbao (realizende fintzas una dopieta in,srd
153,"Места Столін, вёскі Манькавічы, Белавуша і Рыбнікі прадстаўляюць сабой адну населеную аглямэрацыю ўз",be-tarask
154,"Vanlige former for organisert kriminalitet i India er narkotikahandel, våpensmugling, hvitvasking, u",nob
155,Microsoft SQL Server mak hanesan Relasional Data Base management system (RDBMS) ne’ebe produz husi M,tet
156,राजस्थानक ६ किलासभके सन् २०१३ जुनमे युनेस्कोद्वारा विश्व सम्पदा क्षेत्रमे शामिल कएल गेल छल जाहिमे गा,mai
157,ราคาสินทรัพย์ในภาวะฟองสบู่ตั้งอยู่บนสมมติฐานว่าราคาจะเพิ่มขึ้นเรื่อย ๆ ดังนั้น เมื่อราคาเริ่มลดลงภาว,tha
158,"Kapoeira (iha portugés: capoeira) ne’e sistema tradisionál baku-malu nian ne’ebé mosu iha Brazíl, hu",tet
159,"Пуштунская пісьмовасьць мае шэраг адрозьненьняў ад арабскай. Прыкладам, літары, якімі пазначаюцца рэ",be-tarask
160,"Литр (л, l, L, ℓ) — толулукъну метрик ёлчем биримиди. Литр ЁС-ге кирмейди, алай а сагъат неда сутка ",krc
161,"नेपालक वि.सं. २०६८ क जनगणना अनुसार साल्माक जनसङ्ख्या ६,२९७ अछि । जाहिमे १,०४८ घरमूली अछि । ई स्थानक ",mai
162,Нарадзіўся ў сям’і чыгуначніка і беларускага шляхціца герба «Сьлепаворан». Разам з бацькамі жыў у Бе,be-tarask
163,"Афинле шахаргъа эки джол бла кирирге боллукъду: Афинле-Ламия миллет автомагистраль бла, джол шахаргъ",krc
164,ทีปิกา ปาทุโกณ เกิดในโคเปนเฮเกน ประเทศเดนมาร์ก ครอบครัวของเธอย้ายไปอยู่ที่บังคาลอร์ รัฐกรณาฏกะ ประเท,tha
165,Ii-vectors zisetyenziselwa ukubonisa imigama neezalathiso okanye imikhondo emayilandelwe. Ii-vectors,xho
166,سویت یونین دی سابق ریاست تے اج دے وسطی ایشیا دے دیس قازقستان دے 17 انتظامی علاقے نیں ، جنہاں چ 14 صو,pnb
167,دیوا بلے ساری رات کتاب وچّ دیوندر ستیارتھی نے پورے بھارت دے لوکگیتاں بارے کیتی ہے۔ لوک گیت اکٹھے کرن,pnb
168,"СІ вызначае сем асноўных і вытворныя адзінкі фізычных велічынь (далей — адзінкі), а таксама набор пр",be-tarask
169,१- मिथिला आ मैथिलीक विकासक लेल ग्रासरूट पर मैथिल क’ जागृत केनाइ २-प्राथमिक कक्षा सं मैथिली मे अनिवार,mai
170,Eyona systemic artery yakhe yankulu emzimbeni yi-aorta. Lo ke ngowona mthambo mkhulu emzimbeni othat,xho
171,ایوانووا اوبلاست دا موسم براعظمی اے ، اس لئی ایتھے گرمیاں کافی گرمی تے سردیاں برفیلی ٹھنڈ ہندی اے ۔ ,pnb
172,"Ры́бнікі — вёска ў Столінскім раёне Берасьцейскай вобласьці, на левым беразе ракі Гарынь, каля шашы ",be-tarask
173,Aileu mak sai hanesan Rai Husar ba Munisípiu hotu-hotu iha Timór Lorosa'e. Aileu mai husi liafuan ru,tet
174,The film introduces a romance involving Wyatt Earp and a fictional character (based on Lottie Deno) ,eng
175,سال 2013 وچ گنے دیاں فصلاں دی اوسطاً اوسط 70.77 ٹن پرتی ہیکٹیئر سی۔ دنیا وچ سبھ توں ودھ لابھکاری فار,pnb
176,"Ho MTV nia husu, Linkin Park serbisu hamutuk ho Jay Z iha album ""Collision Course"". Materia album ne",tet
177,"Toscana er kjent for sitt landskap, tradisjoner, historie, kunst- og kulturarv, og sin innflytelse p",nob
178,Uninzi lwee-elements endalweni lwenziwe ngee-atoms ezinamanani ee-neutrons awohlukenenyo okanye anga,xho
179,"Uthe xa kanye sele ekhuphe icwecwe lakhe lesihlanu loMbaqanga, uDave Segal (owayeyinjineli yesandi k",xho
180,"A Viva Voce est, a como, s'unicu paperi pubricàdu in limba italiana chi bi apat in isula de Còssiga.",srd
181,"Mellom Amager og Malmö ligger en gammel randmorene kalt Drogden Sill, hvor vanndybden ikke overstige",nob
182,"With the national team, he played in the 1974 World Cup qualifiers in Australia, where Iraq finished",eng
183,"Korsør Biograf Teater, byens kino, som ble grunnlagt i august 1908, er verdens eldste fungerende kin",nob
184,नेपालक वि.सं. २०६८ क जनगणना अनुसार मनहियाक जनसङ्ख्या ७६३४ अछि । जाहिमे ११२५ घरमूली अछि । ई स्थानक सन,mai
185,"Comente in is àteras regiones de minorias linguìsticas de sa Frantza però, intre su de 19 e su de 20",srd
186,1905 چ ٹی بی دے جراسیم تے روگ لبن بارے اودے کماں تے اونوں فزیالوجی دا نوبل انعام دتا گیا۔ کوخ دے شگر,pnb
187,ในปัจจุบัน รูปแบบบริสุทธิ์ของประชาธิปไตยโดยตรงมีอยู่เพียงแค่ในแคนทอนอัพเพินท์เซลล์อินเนอร์โรเดิน (Ap,tha
188,Former Deathwish professional Antwuan Dixon was imprisoned in mid-2013 and stated in a July 2014 Thr,eng
189,Vikeke (lian-portugés: Viqueque) situada iha parte tasi mane Timór Lorosa'e nian. Husi parte leste V,tet
190,Into ekumila kuzii-dimensional ezimbini ijikeleza isazinge (okanye umbindi) somjikelezo. Into ekumil,xho
191,Su commissàriu tècnicu José Pekerman lu cunvocat in sa Natzionale majore e lu faet debutare su 7 aus,srd
192,"प्रखंड- मधुबनी सदर (रहिका), पंडौल, बिस्फी, जयनगर, लदनिया, लौकहा, झंझारपुर, बेनीपट्टी, बासोपट्टी, राज",mai
193,"Къыбыла флангда американ эм француз аскерле Германияны къыбыласsy, Австрияны кючлеб, 7-чи американ а",krc
194,"Nangal Jiwan is a village in Nakodar in Jalandhar district of Punjab State, India. It is located 5.5",eng
195,سن 610ء تے 615ء دے وچکار کبرات خان نے دو وڈے بلغار قبیلےآں کتریگور تے اوتیگور نوں اک حکمرانی چ متحد ,pnb
196,Raimea (iha lia-portugés: Raimea) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administrati,tet
197,у Бізантыі ў канцы VI–VII ст. — ваенна-адміністрацыйная адзінка (намесьніцтва). Экзархі (намесьнікі),be-tarask
198,"बोम्बायला देवी लैशराम (अंग्रेजी :Bombayla Devi Laishram) (जन्म ११ फरवरी १९८५ ,इम्फाल ) एक भारतीय तीर",mai
199,เทศบาลตำบลระแหง อยู่ห่างจากกรุงเทพมหานคร ทางทิศตะวันตกเฉียงเหนือ ตามถนนพหลโยธินเป็นระยะทางประมาณ 46 ,tha
200,Luru (port.: Luro) hanesan postu administrativu ida husi munisípiu Lautein (Timór Lorosa'e) nebe mak,tet
201,З 1997 году выступаў за юнацкія й моладзевыя зборныя. У складзе галоўнай нацыянальнай зборнай Чэхіі ,be-tarask
202,गौरीशंकर हिमाल हिमाल नेपालक दोलखा जिला तथा चीनक सिमानामे अवस्थित हिमाल छी । ७१३४ कि.मी उंच ई हिमालसँ,mai
203,Torrat a costàgiu de Sandro Piccinini in Controcampo Ultimo Minuto a s'incomintzu de s' istagione 20,srd
204,"I-Mathematika anayo ikwasebenzisa ii-dimensions. Kwi-mathematics, ii-dimensions ziqheleke kakhulu. k",xho
205,Pirandello døde i desember 1936 av en lungebetennelse som han hadde pådratt seg i Cinecittà mens han,nob
